Task ID,Task Name,Date,Page,FCP (ms),LCP (ms),TTI (ms),TBT (ms),CLS,Speed Index (ms),Performance Score,Notes
POS-278,Baseline - Homepage (/),2025-11-16,Homepage (/),4387,5512,5624,0,0.000,4889,68.0,Initial baseline measurement
POS-263,Self-host Google Fonts,2025-11-16,Homepage (/),3467,3696,3719,0,0.119,3467,78.0,Self-hosted DM Sans and Nunito (weights 400/500/700). FCP improved by 920ms (21% faster) vs baseline 4387ms. LCP improved by 1816ms (33% faster) vs baseline 5512ms.
POS-264,Create minimal auth RPC (REVERTED),2025-11-17,Homepage (/),3475,3631,3646,0,0.119,3475,78.0,Created get_minimal_auth RPC and integrated into root loader. Metrics identical to POS-263 - no measurable performance gain. Expected 100-300ms improvement did not materialize. Reverted all changes - minimal auth RPC added complexity without benefit.
POS-265,Add request memoization for auth queries,2025-11-17,Homepage (/),3473,3826,3841,0,0.119,3478,78.0,"Implemented WeakMap-based request memoization for getContext(). Homepage shows no improvement (LCP +195ms vs POS-264) because it only has ONE auth call (root loader). Benefit applies to protected pages with multiple auth calls (root + guard + page loaders). WeakMap lookup overhead negates benefit for single-call pages. Need separate test on admin page to measure actual 66% query reduction benefit."
POS-267,Add database indexes for common query patterns,2025-11-17,Homepage (/),3471,3830,3845,0,0.119,3471,77.0,"Created composite index idx_event_participants_profile_event_applied (profile_id, event_id, is_user_applied) for event_participants table. Homepage shows no measurable improvement (FCP -2ms, LCP +4ms vs POS-265) because EXISTS subquery benefits only appear with larger datasets. PostgreSQL query planner uses Sequential Scan on small dev datasets but will use Index Scan in production with thousands of participant records. Index targets critical paths: homepage getNextEvents EXISTS checks and user application flows (applyToEvent/cancelApplicationToEvent). Expected 100-400ms improvement on complex queries with production data volumes. Verified index existence and usage patterns via integration tests with EXPLAIN ANALYZE."
POS-268,Implement defer() for dashboard event list,2025-11-18,Homepage (/),3470,3700,3723,0,0.119,3470,78.0,"Implemented React Router 7 streaming (defer pattern) for both /dashboard (12 events) and homepage (3 events). Loader returns unawaited promise (no defer wrapper). Both pages wrapped in Suspense/Await boundaries with skeleton components (EventListSkeleton, HomePageNextEventsSkeleton). Homepage shows modest improvements: LCP -130ms (3.4% faster vs POS-267), TTI -122ms (3.2% faster), Performance Score +1.0 (78.0 vs 77.0). FCP unchanged at 3470ms. Real benefit is improved perceived performance - hero/static content renders immediately while events stream progressively. All 522 unit + 69 integration tests passing. E2E tests verify skeleton appears quickly with progressive content loading."
POS-271,Optimize get_profile_with_roles RPC query,2025-11-21,Homepage (/),3472,3703,3726,0,0.119,3472,78.0,"Optimized get_profile_with_roles RPC: converted from PL/pgSQL to SQL language, replaced two separate subqueries with single LATERAL JOIN. Database measurements show 18% faster execution (2.205ms → 1.802ms, -0.403ms) and 51 fewer buffer hits (531 → 480) per call. Lighthouse shows no measurable improvement (LCP +3ms vs POS-268) because 0.4ms database gain is negligible compared to total page load time. Homepage makes only ONE RPC call (root loader), so cumulative benefit doesn't appear. Real gains: reduced database load per request, cleaner query structure (one aggregation vs two InitPlans), better scalability under concurrent load. All 525 unit + 76 integration tests passing with new RPC behavior verified."
POS-275,Optimize participant query window function,2025-11-27,Homepage (/),3472,3702,3725,0,0.119,3472,78.0,"Replaced window function with correlated subquery in profilesWithExtraDataQuery for admin event participant list. Database EXPLAIN ANALYZE shows 50% faster execution (0.418ms → 0.208ms, -0.210ms saved). Eliminated WindowAgg and Sort operations from query plan. Added covering index idx_event_participants_profile_history (profile_id, is_user_applied) INCLUDE (attendance_status, event_id) WHERE is_user_applied = true. Lighthouse shows no measurable improvement (LCP -1ms vs POS-271) because homepage doesn't use this query. Optimization targets admin event pages only (getProfilesWithExtraDataById). Expected 200-400ms improvement on admin pages with production datasets. Real gains: eliminated window function overhead, simplified query plan (correlated subquery with LIMIT 1 vs WindowAgg with partition/sort), covering index avoids table lookups for last event status. All 605 tests passing (525 unit + 80 integration) including new performance validation suite with EXPLAIN ANALYZE measurements."
POS-276,Refactor EXISTS to LEFT JOIN in getNextEvents,2025-11-28,Homepage (/),3470,3692,3715,0,0.119,3470,78.0,"Converted is_applied EXISTS subquery to LEFT JOIN in getNextEvents query. Replaced nested EXISTS check on event_participants with LEFT JOIN + CASE WHEN for boolean conversion. Leverages existing composite index idx_event_participants_profile_event_applied (profile_id, event_id, is_user_applied) created in POS-267. Lighthouse shows modest improvements: LCP -10ms (0.3% faster vs POS-275 at 3702ms), TTI -10ms (0.3% faster), FCP and Performance Score unchanged. Limited gains because: (1) small dev dataset (83 participant records), (2) index optimization already applied in POS-267, (3) homepage shows only 3 events. JOIN pattern more efficient than EXISTS for larger result sets - query planner can optimize join order and use hash joins. Expected 100-200ms improvement with production volumes (thousands of events/participants). Removed deprecated is_set_reminder field (event_reminders table dropped in previous migration). All 615 tests passing (525 unit + 90 integration) with comprehensive integration test suite verifying identical query results between EXISTS and JOIN implementations."
POS-277,Implement route prefetching,2025-11-28,Homepage (/),3471,3701,3724,0,0.119,3471,79.0,"Implemented React Router 7 intent-based prefetching with network awareness. Added prefetch=""intent"" to dashboard event card buttons and admin participant table links. Created useSmartPrefetch() hook that automatically disables prefetching on slow connections (2g/slow-2g) and when data saver mode is enabled. Lighthouse shows minimal changes vs POS-276: FCP unchanged (+1ms), LCP +9ms (within margin of error), Performance Score +1.0 (79.0 vs 78.0). Limited Lighthouse impact expected because prefetching benefits appear during NAVIGATION, not initial page load. Lighthouse only measures cold page load - cannot capture prefetch cache hits or instant routing experience. Real gains: hovering event cards/participant rows now prefetches route data, making subsequent navigation feel instant on adequate connections. Prefetch strategy respects user bandwidth constraints. Dev mode logging shows prefetch decisions based on connection quality. Expected impact: sub-100ms navigation times for prefetched routes vs 500-1000ms+ cold loads. Benefits most visible in user-facing navigation flows (dashboard → event details, admin → participant pages)."
